cycle_index,t_start,t_end,cycle_duration_nominal,sample_count,theta0_rad,theta_start_rad,theta_end_rad,max_abs_vel_rad_s,mean_abs_vel_rad_s,rms_vel_rad_s,mean_vel_rad_s,max_abs_delta_theta_rad,mean_abs_delta_theta_rad,rms_delta_theta_rad,ptp_theta_rad,vel_bound_rad_s,satisfy_vel_bound,angle_margin_ratio
941,1774257674.23689,1774257674.28689,0.05,5,-0.34402982134683563,-0.34402982134683563,-0.27272892537886106,4.683297743027488,2.6007065059725756,2.878247194489511,1.8564521932366422,0.07130089596797456,0.025102303190075382,0.03545508234433921,0.07130089596797456,0.9,0,1.584464354843879
942,1774257674.28689,1774257674.33689,0.05,5,-0.23900000549961606,-0.23900000549961606,-0.31987568066747013,3.2104049485569477,2.0379730655526678,2.2182470648184722,-2.0379730655526678,0.08087567516785407,0.04339175313892938,0.051401306162604556,0.08087567516785407,0.9,0,1.7972372259523124
943,1774257674.3368902,1774257674.3868902,0.05,5,-0.2930142457781172,-0.2930142457781172,-0.40292721120061503,6.398201632857897,4.041637364489989,4.521052414036236,-2.6929193074503153,0.10991296542249784,0.04103367489533237,0.057205768782324896,0.13525699446370204,0.9,0,2.442510342722174
944,1774257674.3868902,1774257674.4368901,0.05,4,-0.43359889215914904,-0.43359889215914904,-0.3892844936897562,9.623841255306104,6.358838517198561,7.612112693708211,0.05705565300550767,0.11798102700867286,0.05284397125705147,0.06762429325948306,0.11798102700867286,0.9,0,2.6218006001927296
945,1774257674.4368901,1774257674.48689,0.05,6,-0.464641193635833,-0.464641193635833,-0.4842657901728394,6.452579933122603,4.297811881413695,4.9849987353573155,-1.208414824687456,0.04875614748695323,0.025929499823037678,0.03149871812476498,0.09147315951624224,0.9,0,1.0834699441545161
946,1774257674.48689,1774257674.53689,0.05,5,-0.5081747333923332,-0.5081747333923332,-0.5035594422351375,7.452497813910412,3.5793540072262537,4.469903147289107,0.17931925838858587,0.04196010027998853,0.024124111748010456,0.030200331975110604,0.07468117671841001,0.9,0,0.9324466728886339
947,1774257674.53689,1774257674.58689,0.05,5,-0.5097169167769878,-0.5097169167769878,-0.3934380984385097,6.26181532124337,2.8748337682154483,3.799134698438835,2.8748337682154483,0.11627881833847814,0.041971847390702366,0.06308005865913648,0.11627881833847814,0.9,0,2.5839737408550696
948,1774257674.5868902,1774257674.6368902,0.05,5,-0.36765883424119666,-0.36765883424119666,-0.3212805519069336,2.6539420308040285,1.42959988342086,1.7698871554284494,1.2390880682286438,0.046378282334263055,0.02199008694323732,0.026495744443035273,0.046378282334263055,0.9,0,1.0306284963169567
949,1774257674.6368902,1774257674.6868901,0.05,5,-0.29577820590215265,-0.29577820590215265,-0.32367414234139935,5.686119480941583,3.138762661654623,3.5852724372124998,-0.7351957181098583,0.028310412380447347,0.01696095137149579,0.020262790131609396,0.05620634881969405,0.9,0,0.6291202751210521
950,1774257674.6868901,1774257674.73689,0.05,5,-0.30756352541717297,-0.30756352541717297,-0.2453023442094055,3.5506095700844327,1.6548026164598568,2.049185887032079,1.5519915725912705,0.06226118120776747,0.028281954880777716,0.03679275391584811,0.06226118120776747,0.9,0,1.3835818046170547
951,1774257674.73689,1774257674.78689,0.05,5,-0.27961282559723455,-0.27961282559723455,-0.2810844700840033,3.931895107548243,2.0420657454309405,2.4053297160846734,0.07611819165681888,0.02866073843787237,0.01314819850093869,0.017495365664463594,0.040429776238999515,0.9,0,0.6369052986193859
952,1774257674.78689,1774257674.83689,0.05,5,-0.25155728910551317,-0.25155728910551317,-0.43123911615632377,8.672065323015932,3.545888776791899,4.760072007752211,-3.5322678108040915,0.1796818270508106,0.11485334903205706,0.13007322435224075,0.1796818270508106,0.9,0,3.9929294900180126
953,1774257674.8368902,1774257674.8868902,0.05,5,-0.423036919363591,-0.423036919363591,-0.4639970233732626,5.014331177742103,3.6188822900119035,3.814368204964473,-1.1117167011408517,0.05281164163989005,0.024690573661058368,0.03203189617390983,0.09377174564956164,0.9,0,1.173592036442001
954,1774257674.8868902,1774257674.9368901,0.05,5,-0.4980620217622979,-0.4980620217622979,-0.5120482369024663,3.0565585743858312,1.8940483018099843,2.235069959301787,-0.3657690146170687,0.028495359298584655,0.009273454939319437,0.014251445265946993,0.042481574438753,0.9,0,0.6332302066352145
955,1774257674.9368901,1774257674.98689,0.05,5,-0.47007791477927807,-0.47007791477927807,-0.5441119299051567,4.972231786525198,2.039131983465665,2.6913609492951376,-1.8515833597246085,0.07783953641668306,0.039800754501075286,0.050397157428877036,0.07783953641668306,0.9,0,1.7297674759262902
956,1774257674.98689,1774257675.03689,0.05,5,-0.4510626182541532,-0.4510626182541532,-0.4754343291876328,5.549046097838582,2.9397397233406917,3.4274917350060345,-0.8291225744212971,0.036665926406886484,0.020909592537592493,0.02494671249864255,0.06906880393934084,0.9,0,0.8147983645974773
957,1774257675.03689,1774257675.08689,0.05,5,-0.4469359013470139,-0.4469359013470139,-0.4436942043548303,6.741616100780762,3.9422292038443496,4.548178481502834,-0.16539239383298282,0.08003100757296139,0.032383956256518964,0.04570086949037976,0.08003100757296139,0.9,0,1.7784668349546973
958,1774257675.0868902,1774257675.1368902,0.05,5,-0.43509312097357455,-0.43509312097357455,-0.4428948920607027,8.294507052059656,3.911235460671461,4.7977413899247985,-0.23601806535836678,0.07384000526890871,0.026569076605566455,0.038845811944461926,0.08164177635603687,0.9,0,1.640889005975749
959,1774257675.1368902,1774257675.1868901,0.05,5,-0.44363534323164133,-0.44363534323164133,-0.26784364729557514,7.10205103963835,4.185958589022609,4.621277002978841,4.185958589022609,0.1757916959360662,0.08127902027903977,0.10799934926387812,0.1757916959360662,0.9,0,3.9064821319125818
960,1774257675.1868901,1774257675.23689,0.05,5,-0.35377605612724194,-0.35377605612724194,-0.2971746049421169,5.7416343650573385,1.7312544316892562,2.8926147526628143,1.4614717820880898,0.05660145118512505,0.013726626731858326,0.025569867122727574,0.06324878950530455,0.9,0,1.257810026336112
961,1774257675.23689,1774257675.28689,0.05,4,-0.2698809700630275,-0.2698809700630275,-0.39390356896872825,4.8578450796407235,4.115877931972489,4.1492663370741925,-4.115877931972489,0.12402259890570072,0.06518349627926504,0.07977209698345224,0.12402259890570072,0.9,0,2.7560577534600155
962,1774257675.28689,1774257675.33689,0.05,6,-0.4215368368299631,-0.4215368368299631,-0.388809545007462,8.95714995070051,5.371101616890251,5.891836756864473,0.9365304861170707,0.14442546124576278,0.061772571510690176,0.07666820066118568,0.14442546124576278,0.9,0,3.2094546943502835
963,1774257675.3368902,1774257675.3868902,0.05,5,-0.409391663838478,-0.409391663838478,-0.3152458454760258,7.232933195889818,4.421444102652483,5.230243303297656,2.785241894434926,0.1274701162841846,0.0769348077922142,0.0891451745815647,0.1274701162841846,0.9,0,2.832669250759657
964,1774257675.3868902,1774257675.4368901,0.05,5,-0.32681365960610675,-0.32681365960610675,-0.3420829663342124,3.4817824330927944,1.4905407552139858,1.913130688143858,-0.45989564064654764,0.03168823261700898,0.016528331380972795,0.019830467683937168,0.03168823261700898,0.9,0,0.704182947044644
965,1774257675.4368901,1774257675.48689,0.05,5,-0.316499687831345,-0.316499687831345,-0.3527131563035254,4.697217639015757,2.129082768143266,2.742045074735396,-0.8625115595296791,0.03621346847218038,0.014770078988775392,0.018887189092856554,0.04891135601385049,0.9,0,0.8047437438262305
966,1774257675.48689,1774257675.53689,0.05,5,-0.3299761949772419,-0.3299761949772419,-0.3011313845505221,3.1170523262373107,1.9936011130868623,2.2158184580131226,0.6516474598922087,0.04893881510062942,0.02328961016686696,0.028274159017097664,0.04893881510062942,0.9,0,1.0875292244584314
967,1774257675.53689,1774257675.58689,0.05,5,-0.3667324277733366,-0.3667324277733366,-0.3168157410553822,7.430850664698554,5.315579521563439,5.532765840667928,0.4652169958622818,0.07680260953246654,0.040601333654510754,0.04818081963626379,0.12733094118227334,0.9,0,1.706724656277034
968,1774257675.5868902,1774257675.6368902,0.05,5,-0.4090763358365553,-0.4090763358365553,-0.47399717785296536,6.584277319897859,2.814633252927915,3.6693994833727652,-1.642197064069483,0.08820909288381829,0.052667140579011576,0.06346124027034034,0.08820909288381829,0.9,0,1.9602020640848505
