time,dt,roll_wrapped_rad,roll_unwrapped_rad,droll_rad,roll_vel_rad_s
1774257680.2537189,0.010073661804199219,-0.1486180238537092,-0.1486180238537092,0.03142308688064516,3.1193311321555783
1774257680.264115,0.010396242141723633,-0.14517691876821093,-0.14517691876821093,0.003441105085498275,0.3309950882817511
1774257680.2740207,0.009905576705932617,-0.08634819010975094,-0.08634819010975094,0.05882872865845999,5.93895039177542
1774257680.2837875,0.009766817092895508,-0.04813484686076331,-0.04813484686076331,0.038213343248987626,3.912568740207538
1774257680.2957895,0.012001991271972656,-0.009003458760267478,-0.00900345876026748,0.03913138810049583,3.260407978455742
1774257680.3039923,0.008202791213989258,-0.0091269246974127,-0.009126924697412702,-0.00012346593714522222,-0.015051698126201255
1774257680.3138459,0.009853601455688477,0.016342169562166404,0.016342169562166404,0.025469094259579106,2.5847497865743105
1774257680.3255608,0.011714935302734375,0.02733424526839351,0.02733424526839351,0.010992075706227105,0.9382958951264078
1774257680.3335936,0.008032798767089844,0.013636207438217907,0.013636207438217907,-0.013698037830175602,-1.7052634115890077
1774257680.3438494,0.010255813598632812,0.053939820020297194,0.053939820020297194,0.04030361258207929,3.9298308412559395
1774257680.3561766,0.012327194213867188,0.03334320989580456,0.03334320989580456,-0.020596610124492633,-1.6708270971607602
1774257680.3636024,0.007425785064697266,-6.0677422417649926e-05,-6.0677422417651505e-05,-0.03340388731822221,-4.4983644190062515
1774257680.3739107,0.010308265686035156,-0.03797537629918247,-0.03797537629918247,-0.03791469887676482,-3.678087083856281
1774257680.3845356,0.010624885559082031,-0.0725171925994257,-0.0725171925994257,-0.03454181630024323,-3.251029491862835
1774257680.3936753,0.009139776229858398,-0.13579400055138763,-0.13579400055138763,-0.06327680795196193,-6.92323382548965
1774257680.4050975,0.011422157287597656,-0.205492673165295,-0.205492673165295,-0.06969867261390736,-6.102058556800578
1774257680.4139354,0.00883793830871582,-0.190182820179244,-0.190182820179244,0.015309852986050976,1.73228783130933
1774257680.423673,0.009737491607666016,-0.19007287037534482,-0.19007287037534482,0.00010994980389919529,0.011291388822624024
1774257680.4344747,0.01080179214477539,-0.20302004705361695,-0.20302004705361695,-0.012947176678272138,-1.1986137582303347
1774257680.4438524,0.009377717971801758,-0.21422528196595278,-0.21422528196595278,-0.011205234912335826,-1.1948786416939925
1774257680.453598,0.009745597839355469,-0.3069330016414118,-0.3069330016414118,-0.09270771967545902,-9.512779123829544
1774257680.465482,0.011883974075317383,-0.362226601425912,-0.362226601425912,-0.055293599784500214,-4.652786974631927
1774257680.4736784,0.008196353912353516,-0.35795290307410865,-0.35795290307410865,0.004273698351803357,0.5214145701251447
1774257680.4839015,0.010223150253295898,-0.32623569085168547,-0.32623569085168547,0.031717212222423186,3.1024890994043344
1774257680.4941978,0.010296344757080078,-0.3928253191273637,-0.3928253191273637,-0.06658962827567821,-6.467307558819762
1774257680.5039303,0.009732484817504883,-0.41494579148186705,-0.41494579148186705,-0.022120472354503373,-2.272849407863181
1774257680.513701,0.009770631790161133,-0.3923479272455652,-0.3923479272455652,0.022597864236301834,2.312835517868713
1774257680.5236826,0.009981632232666016,-0.4017212514747807,-0.4017212514747807,-0.009373324229215496,-0.9390572614507111
1774257680.5339615,0.010278940200805664,-0.3993720917337259,-0.3993720917337259,0.002349159741054818,0.2285410455905455
1774257680.5440748,0.010113239288330078,-0.4498728730345194,-0.4498728730345194,-0.050500781300793496,-4.993531732119463
